example_input,example_output
"Ciclo Christmas Musical Madness! Sonrisas y Lágrimas (4K) The Sound of Music Robert Wise, 1965. Int: Julie Andrews, Christopher Plummer, Eleanor Parker USA · VOSE · 4K · 172' Martes 31/12 12:00","[{""cinema"": ""phenomena"", ""title"": ""Sonrisas y Lágrimas (4K)"", ""original_title"": ""The Sound of Music"", ""director"": ""Robert Wise"", ""year_of_release"": 1965, ""screening_date"": ""2024-12-31"", ""screening_time"": ""12:00"", ""language"": ""VOSE"", ""price"": null, ""cast"": [""Julie Andrews"", ""Christopher Plummer"", ""Eleanor Parker""]}]"
"Stalker Stalker Andrei Tarkovski, 1979. Int: Aleksandr Kaidanovsky, Anatoly Solonitsyn, Nikolai Grinko URSS · VOSE · 161' Jueves 09/01 21:35","[{""cinema"": “phenomena"", ""title"": ""Stalker"", ""original_title"": ""Stalker"", ""director"": ""Andrei Tarkovski"", ""year_of_release"": 1979, ""screening_date"": ""2025-01-09"", ""screening_time"": ""21:35"", ""language"": ""VOSE"", ""price"": null, ""cast"": [""Aleksandr Kaidanovsky"", ""Anatoly Solonitsyn"", ""Nikolai Grinko""]}]"
"Taxi Driver (4K) Taxi Driver Martin Scorsese, 1976. Int: Robert De Niro, Jodie Foster, Harvey Keitel USA · VOSE · 4K · 113' Domingo 29/12 18:15","[{""cinema"": “phenomena"", ""title"": ""Taxi Driver (4K)"", ""original_title"": ""Taxi Driver"", ""director"": ""Martin Scorsese"", ""year_of_release"": 1976, ""screening_date"": ""2024-12-29"", ""screening_time"": ""18:15"", ""language"": ""VOSE"", ""price"": null, ""cast"": [""Robert De Niro"", ""Jodie Foster"", ""Harvey Keitel""]}]"
"The Brutalist (70 mm y DTS) The Brutalist Brady Corbet, 2024. Int: Adrien Brody, Felicity Jones, Guy Pearce USA/Reino Unido · VOSE · 215' Gran Estreno 17 Enero 2025","[{""cinema"": “phenomena"", ""title"": ""The Brutalist (70 mm y DTS)"", ""original_title"": ""The Brutalist"", ""director"": ""Brady Corbet"", ""year_of_release"": 2024, ""screening_date"": ""2025-01-17"", ""screening_time"": null, ""language"": ""VOSE"", ""price"": null, ""cast"": [""Adrien Brody"", ""Felicity Jones"", ""Guy Pearce""]}]"
"¡Olvídate de mí! Eternal Sunshine of the Spotless Mind Michel Gondry, 2004. Int: Jim Carrey, Kate Winslet, Kirsten Dunst, Mark Ruffalo USA · VOSE · 35mm · 108' Martes 24/12 15:15","[{""cinema"": “phenomena”, ""title"": ""¡Olvídate de mí!"", ""original_title"": ""Eternal Sunshine of the Spotless Mind"", ""director"": ""Michel Gondry"", ""year_of_release"": 2004, ""screening_date"": ""2024-12-24"", ""screening_time"": ""15:15"", ""language"": ""VOSE"", ""price"": null, ""cast"": [""Jim Carrey"", ""Kate Winslet"", ""Kirsten Dunst"", ""Mark Ruffalo""]}]"
Collateral (VOSE) Martes 24 Especial Navidad 16:00h,"[{""cinema"": ""malda"", ""title"": ""Marco"", ""original_title"": ""Marco"", ""director"": null, ""year_of_release"": null, ""screening_date"": ""2024-12-24"", ""screening_time"": ""12:00"", ""language"": ""VOE"", ""price"": null, ""cast"": []}]"
Escondidos en Brujas (VOSE) Martes 24 Especial Navidad 14:00h Pase Único!,"[{""cinema"": ""malda"", ""title"": ""Escondidos en Brujas"", ""original_title"": ""Escondidos en Brujas"", ""director"": null, ""year_of_release"": null, ""screening_date"": ""2024-12-24"", ""screening_time"": ""14:00"", ""language"": ""VOSE"", ""price"": null, ""cast"": []}]"
Collateral (VOSE) Martes 24 Especial Navidad 16:00h,"[{""cinema"": ""malda"", ""title"": ""Collateral"", ""original_title"": ""Collateral"", ""director"": null, ""year_of_release"": null, ""screening_date"": ""2024-12-24"", ""screening_time"": ""16:00"", ""language"": ""VOSE"", ""price"": null, ""cast"": []}]"
Los Fantasmas Atacan al Jefe (VOSE) Martes 24 Especial Navidad 18:15h Pase Único!,"[{""cinema"": ""malda"", ""title"": ""Los Fantasmas Atacan al Jefe"", ""original_title"": ""Los Fantasmas Atacan al Jefe"", ""director"": null, ""year_of_release"": null, ""screening_date"": ""2024-12-24"", ""screening_time"": ""18:15"", ""language"": ""VOSE"", ""price"": null, ""cast"": []}]"
El Apartamento (VOSE) Miércoles 25 Especial Navidad 18:20h Pase Único!,"[{""cinema"": ""malda"", ""title"": ""El Apartamento"", ""original_title"": ""El Apartamento"", ""director"": null, ""year_of_release"": null, ""screening_date"": ""2024-12-25"", ""screening_time"": ""18:20"", ""language"": ""VOSE"", ""price"": null, ""cast"": []}]"
